Beneficiários por Município
Assistência Médica por Município
Período:Dez/2022
"Município";"Assistência_Médica"
"410230 Balsa Nova";1757
"410240 Bandeirantes";4382
"410250 Barbosa Ferraz";1189
"410270 Barra do Jacaré";262
"410260 Barracão";708
"410275 Bela Vista da Caroba";34
"410280 Bela Vista do Paraíso";3191
"410290 Bituruna";824
"410300 Boa Esperança";932
"410302 Boa Esperança do Iguaçu";94
"410304 Boa Ventura de São Roque";499
"410305 Boa Vista da Aparecida";393
"410310 Bocaiúva do Sul";1049
"410315 Bom Jesus do Sul";65
"410320 Bom Sucesso";512
"410322 Bom Sucesso do Sul";246
"410330 Borrazópolis";537
"410335 Braganey";772
"410337 Brasilândia do Sul";261
"410340 Cafeara";165
"410345 Cafelândia";3523
"410347 Cafezal do Sul";79
"410350 Califórnia";724
"410360 Cambará";4125
"410370 Cambé";27878
"410380 Cambira";941
"410390 Campina da Lagoa";1726
"410395 Campina do Simão";61
"410400 Campina Grande do Sul";10147
"410405 Campo Bonito";130
"410410 Campo do Tenente";472
"410420 Campo Largo";32877
"410425 Campo Magro";5243
"410430 Campo Mourão";28776
"410440 Cândido de Abreu";405
"410442 Candói";691
"410445 Cantagalo";439
"410450 Capanema";1264
"410460 Capitão Leônidas Marques";1274
"410465 Carambeí";7974
"410470 Carlópolis";730
"410480 Cascavel";92377
"410490 Castro";13891
"410500 Catanduvas";721
"410510 Centenário do Sul";961
"410520 Cerro Azul";439
"410530 Céu Azul";1628
"410540 Chopinzinho";2186
"410550 Cianorte";12975
"410560 Cidade Gaúcha";2533
"410570 Clevelândia";2143
"410580 Colombo";55897
"410590 Colorado";6875
"410600 Congonhinhas";197
"410610 Conselheiro Mairinck";188
"410620 Contenda";2264
"410630 Corbélia";3515
"410640 Cornélio Procópio";10960
"410645 Coronel Domingos Soares";278
"410650 Coronel Vivida";5111
"410655 Corumbataí do Sul";532
"410680 Cruz Machado";243
"410657 Cruzeiro do Iguaçu";258
"410660 Cruzeiro do Oeste";2676
"410670 Cruzeiro do Sul";1009
"410685 Cruzmaltina";195
"410690 Curitiba";996974
"410700 Curiúva";1474
"410715 Diamante D'Oeste";143
"410710 Diamante do Norte";421
"410712 Diamante do Sul";78
"410720 Dois Vizinhos";10509
"410725 Douradina";2736
"410730 Doutor Camargo";2084
"412863 Doutor Ulysses";65
"410740 Enéas Marques";350
"410750 Engenheiro Beltrão";2309
"410753 Entre Rios do Oeste";1114
"410752 Esperança Nova";27
"410754 Espigão Alto do Iguaçu";129
"410755 Farol";369
"410760 Faxinal";1600
"410765 Fazenda Rio Grande";34978
"410770 Fênix";595
"410773 Fernandes Pinheiro";229
"410775 Figueira";523
"410785 Flor da Serra do Sul";146
"410780 Floraí";1464
"410790 Floresta";2580
"410800 Florestópolis";726
"410810 Flórida";562
"410820 Formosa do Oeste";487
"410830 Foz do Iguaçu";71658
"410845 Foz do Jordão";140
"410832 Francisco Alves";581
"410840 Francisco Beltrão";17693
"410850 General Carneiro";812
"410855 Godoy Moreira";34
"410860 Goioerê";3324
"410865 Goioxim";248
"410870 Grandes Rios";248
"410880 Guaíra";3977
"410890 Guairaçá";661
"410895 Guamiranga";139
"410900 Guapirama";304
"410910 Guaporema";226
"410920 Guaraci";560
"410930 Guaraniaçu";1015
"410940 Guarapuava";30399
"410950 Guaraqueçaba";164
"410960 Guaratuba";3244
"410965 Honório Serpa";487
"410970 Ibaiti";1932
"410975 Ibema";260
"410980 Ibiporã";13121
"410990 Icaraíma";819
"411000 Iguaraçu";1044
"411005 Iguatu";143
"411007 Imbaú";829
"411010 Imbituva";1447
"411020 Inácio Martins";180
"411030 Inajá";300
"411040 Indianópolis";372
"411050 Ipiranga";980
"411060 Iporã";914
"411065 Iracema do Oeste";68
"411070 Irati";7398
"411080 Iretama";834
"411090 Itaguajé";252
"411095 Itaipulândia";607
"411100 Itambaracá";689
"411110 Itambé";1809
"411120 Itapejara d'Oeste";1592
"411125 Itaperuçu";2419
"411130 Itaúna do Sul";176
"411140 Ivaí";421
"411150 Ivaiporã";3642
"411155 Ivaté";2015
"411160 Ivatuba";869
"411170 Jaboti";163
"411180 Jacarezinho";7932
"411190 Jaguapitã";1856
"411200 Jaguariaíva";7736
"411210 Jandaia do Sul";4427
"411220 Janiópolis";387
"411230 Japira";115
"411240 Japurá";1192
"411250 Jardim Alegre";733
"411260 Jardim Olinda";67
"411270 Jataizinho";1438
"411275 Jesuítas";611
"411280 Joaquim Távora";1618
"411290 Jundiaí do Sul";86
"411295 Juranda";1222
"411300 Jussara";648
"411310 Kaloré";213
"411320 Lapa";3903
"411325 Laranjal";38
"411330 Laranjeiras do Sul";2500
"411340 Leópolis";233
"411342 Lidianópolis";130
"411345 Lindoeste";290
"411350 Loanda";2936
"411360 Lobato";1337
"411370 Londrina";216610
"411373 Luiziana";831
"411375 Lunardelli";240
"411380 Lupionópolis";465
"411390 Mallet";2590
"411400 Mamborê";2263
"411410 Mandaguaçu";8650
"411420 Mandaguari";13439
"411430 Mandirituba";2073
"411435 Manfrinópolis";109
"411440 Mangueirinha";2383
"411450 Manoel Ribas";861
"411460 Marechal Cândido Rondon";23143
"411470 Maria Helena";193
"411480 Marialva";12852
"411490 Marilândia do Sul";586
"411500 Marilena";264
"411510 Mariluz";761
"411520 Maringá";193430
"411530 Mariópolis";1158
"411535 Maripá";1369
"411540 Marmeleiro";1039
"411545 Marquinho";48
"411550 Marumbi";434
"411560 Matelândia";2902
"411570 Matinhos";5179
"411573 Mato Rico";24
"411575 Mauá da Serra";1010
"411580 Medianeira";13339
"411585 Mercedes";1724
"411590 Mirador";75
"411600 Miraselva";196
"411605 Missal";976
"411610 Moreira Sales";1151
"411620 Morretes";1473
"411630 Munhoz de Melo";326
"411640 Nossa Senhora das Graças";201
"411650 Nova Aliança do Ivaí";84
"411660 Nova América da Colina";150
"411670 Nova Aurora";2480
"411680 Nova Cantu";548
"411690 Nova Esperança";7433
"411695 Nova Esperança do Sudoeste";297
"411700 Nova Fátima";604
"411705 Nova Laranjeiras";159
"411710 Nova Londrina";1778
"411720 Nova Olímpia";360
"411725 Nova Prata do Iguaçu";387
"411721 Nova Santa Bárbara";259
"411722 Nova Santa Rosa";2678
"411727 Nova Tebas";198
"411729 Novo Itacolomi";119
"411730 Ortigueira";1404
"411740 Ourizona";952
"411745 Ouro Verde do Oeste";1580
"411750 Paiçandu";13496
"411760 Palmas";5616
"411770 Palmeira";4750
"411780 Palmital";403
"411790 Palotina";8120
"411800 Paraíso do Norte";2872
"411810 Paranacity";2615
"411820 Paranaguá";45936
"411830 Paranapoema";136
"411840 Paranavaí";21690
"411845 Pato Bragado";1396
"411850 Pato Branco";29943
"411860 Paula Freitas";244
"411870 Paulo Frontin";223
"411880 Peabiru";2143
"411885 Perobal";370
"411890 Pérola";538
"411900 Pérola d'Oeste";172
"411910 Piên";1482
"411915 Pinhais";43673
"411925 Pinhal de São Bento";17
"411920 Pinhalão";230
"411930 Pinhão";1242
"411940 Piraí do Sul";4223
"411950 Piraquara";19781
"411960 Pitanga";2198
"411965 Pitangueiras";200
"411970 Planaltina do Paraná";327
"411980 Planalto";403
"411990 Ponta Grossa";99173
"411995 Pontal do Paraná";2612
"412000 Porecatu";1914
"412010 Porto Amazonas";270
"412015 Porto Barreiro";51
"412020 Porto Rico";228
"412030 Porto Vitória";77
"412033 Prado Ferreira";342
"412035 Pranchita";222
"412040 Presidente Castelo Branco";938
"412050 Primeiro de Maio";1719
"412060 Prudentópolis";1957
"412065 Quarto Centenário";364
"412070 Quatiguá";701
"412080 Quatro Barras";7683
"412085 Quatro Pontes";1948
"412090 Quedas do Iguaçu";2742
"412100 Querência do Norte";537
"412110 Quinta do Sol";693
"412120 Quitandinha";845
"412125 Ramilândia";215
"412130 Rancho Alegre";299
"412135 Rancho Alegre D'Oeste";312
"412140 Realeza";1592
"412150 Rebouças";386
"412160 Renascença";452
"412170 Reserva";1477
"412175 Reserva do Iguaçu";314
"412180 Ribeirão Claro";1127
"412190 Ribeirão do Pinhal";1060
"412200 Rio Azul";731
"412210 Rio Bom";161
"412215 Rio Bonito do Iguaçu";149
"412217 Rio Branco do Ivaí";181
"412220 Rio Branco do Sul";5214
"412230 Rio Negro";3913
"412240 Rolândia";15200
"412250 Roncador";715
"412260 Rondon";1605
"412265 Rosário do Ivaí";126
"412270 Sabáudia";515
"412280 Salgado Filho";140
"412290 Salto do Itararé";66
"412300 Salto do Lontra";711
"412310 Santa Amélia";245
"412320 Santa Cecília do Pavão";302
"412330 Santa Cruz de Monte Castelo";653
"412340 Santa Fé";2088
"412350 Santa Helena";3031
"412360 Santa Inês";268
"412370 Santa Isabel do Ivaí";738
"412380 Santa Izabel do Oeste";648
"412382 Santa Lúcia";179
"412385 Santa Maria do Oeste";220
"412390 Santa Mariana";1151
"412395 Santa Mônica";227
"412402 Santa Tereza do Oeste";1515
"412405 Santa Terezinha de Itaipu";3111
"412400 Santana do Itararé";164
"412410 Santo Antônio da Platina";7613
"412420 Santo Antônio do Caiuá";179
"412430 Santo Antônio do Paraíso";134
"412440 Santo Antônio do Sudoeste";581
"412450 Santo Inácio";698
"412460 São Carlos do Ivaí";932
"412470 São Jerônimo da Serra";430
"412480 São João";1774
"412490 São João do Caiuá";438
"412500 São João do Ivaí";1059
"412510 São João do Triunfo";352
"412520 São Jorge d'Oeste";721
"412530 São Jorge do Ivaí";1777
"412535 São Jorge do Patrocínio";91
"412540 São José da Boa Vista";128
"412545 São José das Palmeiras";483
"412550 São José dos Pinhais";118754
"412555 São Manoel do Paraná";101
"412560 São Mateus do Sul";6531
"412570 São Miguel do Iguaçu";4199
"412575 São Pedro do Iguaçu";1280
"412580 São Pedro do Ivaí";1656
"412590 São Pedro do Paraná";84
"412600 São Sebastião da Amoreira";863
"412610 São Tomé";656
"412620 Sapopema";318
"412625 Sarandi";24350
"412627 Saudade do Iguaçu";248
"412630 Sengés";1151
"412635 Serranópolis do Iguaçu";537
"412640 Sertaneja";599
"412650 Sertanópolis";4373
"412660 Siqueira Campos";2006
"412665 Sulina";144
"412667 Tamarana";1150
"412670 Tamboara";393
"412680 Tapejara";2887
"412690 Tapira";268
"412700 Teixeira Soares";401
"412710 Telêmaco Borba";26018
"412720 Terra Boa";1729
"412730 Terra Rica";2884
"412740 Terra Roxa";1580
"412750 Tibagi";1630
"412760 Tijucas do Sul";1138
"412770 Toledo";65470
"412780 Tomazina";355
"412785 Três Barras do Paraná";759
"412788 Tunas do Paraná";145
"412790 Tuneiras do Oeste";505
"412795 Tupãssi";1590
"412796 Turvo";1541
"412800 Ubiratã";6580
"412810 Umuarama";17676
"412820 União da Vitória";6980
"412830 Uniflor";273
"412840 Uraí";1445
"412853 Ventania";394
"412855 Vera Cruz do Oeste";1148
"412860 Verê";509
"412865 Virmond";84
"412870 Vitorino";1613
"412850 Wenceslau Braz";1387
"412880 Xambrê";146
"410000 Município ignorado - PR";385
"420005 Abdon Batista";431
"420010 Abelardo Luz";2132
"420020 Agrolândia";479
"420030 Agronômica";445
"420040 Água Doce";1017
"420050 Águas de Chapecó";362
"420055 Águas Frias";287
"420060 Águas Mornas";416
"420070 Alfredo Wagner";284
"420075 Alto Bela Vista";283
"420080 Anchieta";212
"420090 Angelina";226
"420100 Anita Garibaldi";360
"420110 Anitápolis";214
"420120 Antônio Carlos";1532
"420125 Apiúna";641
"420127 Arabutã";682
"420130 Araquari";7669
"420140 Araranguá";8544
"420150 Armazém";982
"420160 Arroio Trinta";446
"420165 Arvoredo";41
"420170 Ascurra";855
"420180 Atalanta";146
"420190 Aurora";335
"420195 Balneário Arroio do Silva";1022
"420205 Balneário Barra do Sul";1346
"420200 Balneário Camboriú";41829
"420207 Balneário Gaivota";915
"421280 Balneário Piçarras";4001
"420208 Bandeirante";100
"420209 Barra Bonita";146
"420210 Barra Velha";5357
"420213 Bela Vista do Toldo";155
"420215 Belmonte";127
"420220 Benedito Novo";1880
"420230 Biguaçu";10916
"420240 Blumenau";117999
"420243 Bocaina do Sul";158
"420250 Bom Jardim da Serra";228
"420253 Bom Jesus";136
"420257 Bom Jesus do Oeste";53
"420260 Bom Retiro";323
"420245 Bombinhas";2300
"420270 Botuverá";300
"420280 Braço do Norte";6636
"420285 Braço do Trombudo";109
"420287 Brunópolis";64
"420290 Brusque";28766
"420300 Caçador";14243
"420310 Caibi";328
"420315 Calmon";177
"420320 Camboriú";11824
"420330 Campo Alegre";1038
"420340 Campo Belo do Sul";438
"420350 Campo Erê";512
"420360 Campos Novos";6852
"420370 Canelinha";506
"420380 Canoinhas";7981
"420325 Capão Alto";81
"420390 Capinzal";7341
"420395 Capivari de Baixo";5881
"420400 Catanduvas";1428
"420410 Caxambu do Sul";299
"420415 Celso Ramos";148
"420417 Cerro Negro";100
"420419 Chapadão do Lageado";67
"420420 Chapecó";52328
"420425 Cocal do Sul";5963
"420430 Concórdia";29240
"420435 Cordilheira Alta";425
"420440 Coronel Freitas";859
"420445 Coronel Martins";104
"420455 Correia Pinto";2300
"420450 Corupá";2293
"420460 Criciúma";61086
"420470 Cunha Porã";754
"420475 Cunhataí";27
"420480 Curitibanos";5013
"420490 Descanso";568
"420500 Dionísio Cerqueira";864
"420510 Dona Emma";112
"420515 Doutor Pedrinho";229
"420517 Entre Rios";81
"420519 Ermo";185
"420520 Erval Velho";388
"420530 Faxinal dos Guedes";1177
"420535 Flor do Sertão";105
"420540 Florianópolis";207870
"420543 Formosa do Sul";201
"420545 Forquilhinha";4922
"420550 Fraiburgo";4769
"420555 Frei Rogério";38
"420560 Galvão";265
"420570 Garopaba";3224
"420580 Garuva";2389
"420590 Gaspar";16660
"420600 Governador Celso Ramos";2015
"420610 Grão Pará";626
"420620 Gravatal";2170
"420630 Guabiruba";2771
"420640 Guaraciaba";477
"420650 Guaramirim";8448
"420660 Guarujá do Sul";264
"420665 Guatambú";1191
"420670 Herval d'Oeste";4048
"420675 Ibiam";116
"420680 Ibicaré";400
"420690 Ibirama";1177
"420700 Içara";11207
"420710 Ilhota";1929
"420720 Imaruí";329
"420730 Imbituba";7114
"420740 Imbuia";181
"420750 Indaial";15637
"420757 Iomerê";416
"420760 Ipira";486
"420765 Iporã do Oeste";384
"420768 Ipuaçu";288
"420770 Ipumirim";1514
"420775 Iraceminha";167
"420780 Irani";1935
"420785 Irati";102
"420790 Irineópolis";587
"420800 Itá";1059
"420810 Itaiópolis";856
"420820 Itajaí";69833
"420830 Itapema";13877
"420840 Itapiranga";2410
"420845 Itapoá";5877
"420850 Ituporanga";1831
"420860 Jaborá";451
"420870 Jacinto Machado";968
"420880 Jaguaruna";3357
"420890 Jaraguá do Sul";52281
"420895 Jardinópolis";97
"420900 Joaçaba";7646
"420910 Joinville";244471
"420915 José Boiteux";84
"420917 Jupiá";161
"420920 Lacerdópolis";288
"420930 Lages";26787
"420940 Laguna";8595
"420945 Lajeado Grande";74
"420950 Laurentino";719
"420960 Lauro Muller";1739
"420970 Lebon Régis";722
"420980 Leoberto Leal";89
"420985 Lindóia do Sul";567
"420990 Lontras";699
"421000 Luiz Alves";2114
"421003 Luzerna";1328
"421005 Macieira";106
"421010 Mafra";5602
"421020 Major Gercino";76
"421030 Major Vieira";186
"421040 Maracajá";1128
"421050 Maravilha";3292
"421055 Marema";82
"421060 Massaranduba";2893
"421070 Matos Costa";56
"421080 Meleiro";522
"421085 Mirim Doce";52
"421090 Modelo";191
"421100 Mondaí";515
"421105 Monte Carlo";866
"421110 Monte Castelo";204
"421120 Morro da Fumaça";3148
"421125 Morro Grande";79
"421130 Navegantes";20885
"421140 Nova Erechim";295
"421145 Nova Itaberaba";242
"421150 Nova Trento";1077
"421160 Nova Veneza";2452
"421165 Novo Horizonte";241
"421170 Orleans";3273
"421175 Otacílio Costa";3955
"421180 Ouro";1369
"421185 Ouro Verde";161
"421187 Paial";77
"421189 Painel";40
"421190 Palhoça";40050
"421200 Palma Sola";330
"421205 Palmeira";252
"421210 Palmitos";1714
"421220 Papanduva";924
"421223 Paraíso";126
"421225 Passo de Torres";583
"421227 Passos Maia";187
"421230 Paulo Lopes";665
"421240 Pedras Grandes";696
"421250 Penha";5909
"421260 Peritiba";469
"421270 Petrolândia";318
"421290 Pinhalzinho";1714
"421300 Pinheiro Preto";719
"421310 Piratuba";1030
"421315 Planalto Alegre";158
"421320 Pomerode";11098
"421330 Ponte Alta";286
"421335 Ponte Alta do Norte";159
"421340 Ponte Serrada";1470
"421350 Porto Belo";2968
"421360 Porto União";4463
"421370 Pouso Redondo";602
"421380 Praia Grande";725
"421390 Presidente Castello Branco";160
"421400 Presidente Getúlio";863
"421410 Presidente Nereu";86
"421415 Princesa";62
"421420 Quilombo";1225
"421430 Rancho Queimado";393
"421440 Rio das Antas";1145
"421450 Rio do Campo";210
"421460 Rio do Oeste";358
"421480 Rio do Sul";13119
"421470 Rio dos Cedros";1665
"421490 Rio Fortuna";349
"421500 Rio Negrinho";5700
"421505 Rio Rufino";41
"421507 Riqueza";136
"421510 Rodeio";1533
"421520 Romelândia";269
"421530 Salete";161
"421535 Saltinho";115
"421540 Salto Veloso";1401
"421545 Sangão";1329
"421550 Santa Cecília";743
"421555 Santa Helena";85
"421560 Santa Rosa de Lima";141
"421565 Santa Rosa do Sul";637
"421567 Santa Terezinha";137
"421568 Santa Terezinha do Progresso";95
"421569 Santiago do Sul";120
"421570 Santo Amaro da Imperatriz";3090
"421580 São Bento do Sul";17635
"421575 São Bernardino";112
"421590 São Bonifácio";95
"421600 São Carlos";698
"421605 São Cristovão do Sul";144
"421610 São Domingos";782
"421620 São Francisco do Sul";15262
"421630 São João Batista";1624
"421635 São João do Itaperiú";574
"421625 São João do Oeste";318
"421640 São João do Sul";462
"421650 São Joaquim";1709
"421660 São José";68094
"421670 São José do Cedro";611
"421680 São José do Cerrito";262
"421690 São Lourenço do Oeste";8615
"421700 São Ludgero";2049
"421710 São Martinho";348
"421715 São Miguel da Boa Vista";78
"421720 São Miguel do Oeste";7253
"421725 São Pedro de Alcântara";480
"421730 Saudades";640
"421740 Schroeder";4472
"421750 Seara";3632
"421755 Serra Alta";135
"421760 Siderópolis";2523
"421770 Sombrio";2257
"421775 Sul Brasil";81
"421780 Taió";921
"421790 Tangará";799
"421795 Tigrinhos";129
"421800 Tijucas";8124
"421810 Timbé do Sul";196
"421820 Timbó";9578
"421825 Timbó Grande";448
"421830 Três Barras";2546
"421835 Treviso";582
"421840 Treze de Maio";736
"421850 Treze Tílias";1798
"421860 Trombudo Central";506
"421870 Tubarão";33584
"421875 Tunápolis";233
"421880 Turvo";1128
"421885 União do Oeste";122
"421890 Urubici";577
"421895 Urupema";121
"421900 Urussanga";4090
"421910 Vargeão";213
"421915 Vargem";97
"421917 Vargem Bonita";1101
"421920 Vidal Ramos";411
"421930 Videira";18922
"421935 Vitor Meireles";95
"421940 Witmarsum";72
"421950 Xanxerê";6874
"421960 Xavantina";100
"421970 Xaxim";3409
"421985 Zortéa";1339
"420000 Município ignorado - SC";10
"430003 Aceguá";64
"430005 Água Santa";87
"430010 Agudo";955
"430020 Ajuricaba";1581
"430030 Alecrim";396
"430040 Alegrete";6380
"430045 Alegria";122
"430047 Almirante Tamandaré do Sul";46
"430050 Alpestre";170
"430055 Alto Alegre";248
"430057 Alto Feliz";707
"430060 Alvorada";34843
"430063 Amaral Ferrador";48
"430064 Ametista do Sul";112
"430066 André da Rocha";115
"430070 Anta Gorda";1324
"430080 Antônio Prado";6328
"430085 Arambaré";147
"430087 Araricá";434
"430090 Aratiba";399
"430100 Arroio do Meio";5457
"430107 Arroio do Padre";38
"430105 Arroio do Sal";566
"430120 Arroio do Tigre";474
"430110 Arroio dos Ratos";2104
"430130 Arroio Grande";749
"430140 Arvorezinha";1102
"430150 Augusto Pestana";1797
"430155 Áurea";197
"430160 Bagé";9695
"430163 Balneário Pinhal";720
"430165 Barão";1232
"430170 Barão de Cotegipe";691
"430175 Barão do Triunfo";87
"430185 Barra do Guarita";175
"430187 Barra do Quaraí";33
"430190 Barra do Ribeiro";1893
"430192 Barra do Rio Azul";39
"430195 Barra Funda";101
"430180 Barracão";239
"430200 Barros Cassal";398
"430205 Benjamin Constant do Sul";45
"430210 Bento Gonçalves";48190
"430215 Boa Vista das Missões";79
"430220 Boa Vista do Buricá";414
"430222 Boa Vista do Cadeado";191
"430223 Boa Vista do Incra";64
"430225 Boa Vista do Sul";462
"430230 Bom Jesus";1005
"430235 Bom Princípio";2443
"430237 Bom Progresso";108
"430240 Bom Retiro do Sul";2623
"430245 Boqueirão do Leão";724
"430250 Bossoroca";146
"430258 Bozano";487
"430260 Braga";250
"430265 Brochier";736
"430270 Butiá";2819
"430280 Caçapava do Sul";4313
"430290 Cacequi";431
"430300 Cachoeira do Sul";5703
"430310 Cachoeirinha";41590
"430320 Cacique Doble";128
"430330 Caibaté";524
"430340 Caiçara";181
"430350 Camaquã";7652
"430355 Camargo";195
"430360 Cambará do Sul";929
"430367 Campestre da Serra";718
"430370 Campina das Missões";190
"430380 Campinas do Sul";453
"430390 Campo Bom";16922
"430400 Campo Novo";624
"430410 Campos Borges";320
"430420 Candelária";2119
"430430 Cândido Godói";581
"430435 Candiota";1720
"430440 Canela";12388
"430450 Canguçu";895
"430460 Canoas";115206
"430461 Canudos do Vale";73
"430462 Capão Bonito do Sul";32
"430463 Capão da Canoa";6432
"430465 Capão do Cipó";81
"430466 Capão do Leão";1623
"430468 Capela de Santana";1303
"430469 Capitão";132
"430467 Capivari do Sul";388
"430471 Caraá";104
"430470 Carazinho";8477
"430480 Carlos Barbosa";11929
"430485 Carlos Gomes";74
"430490 Casca";1346
"430495 Caseiros";78
"430500 Catuípe";1545
"430510 Caxias do Sul";239806
"430511 Centenário";166
"430512 Cerrito";83
"430513 Cerro Branco";73
"430515 Cerro Grande";52
"430517 Cerro Grande do Sul";207
"430520 Cerro Largo";1624
"430530 Chapada";385
"430535 Charqueadas";8141
"430537 Charrua";41
"430540 Chiapetta";328
"430543 Chuí";102
"430544 Chuvisca";78
"430545 Cidreira";1026
"430550 Ciríaco";125
"430558 Colinas";514
"430560 Colorado";510
"430570 Condor";1339
"430580 Constantina";473
"430583 Coqueiro Baixo";50
"430585 Coqueiros do Sul";57
"430587 Coronel Barros";435
"430590 Coronel Bicaco";439
"430593 Coronel Pilar";167
"430595 Cotiporã";1076
"430597 Coxilha";106
"430600 Crissiumal";1016
"430605 Cristal";208
"430607 Cristal do Sul";25
"430610 Cruz Alta";6797
"430613 Cruzaltense";48
"430620 Cruzeiro do Sul";3048
"430630 David Canabarro";173
"430632 Derrubadas";141
"430635 Dezesseis de Novembro";213
"430637 Dilermando de Aguiar";30
"430640 Dois Irmãos";7111
"430642 Dois Irmãos das Missões";51
"430645 Dois Lajeados";398
"430650 Dom Feliciano";198
"430660 Dom Pedrito";1834
"430655 Dom Pedro de Alcântara";48
"430670 Dona Francisca";113
"430673 Doutor Maurício Cardoso";421
"430675 Doutor Ricardo";224
"430676 Eldorado do Sul";9644
"430680 Encantado";7051
"430690 Encruzilhada do Sul";926
"430692 Engenho Velho";21
"430695 Entre Rios do Sul";151
"430693 Entre-Ijuís";1324
"430697 Erebango";157
"430700 Erechim";27024
"430705 Ernestina";213
"430720 Erval Grande";175
"430730 Erval Seco";214
"430740 Esmeralda";210
"430745 Esperança do Sul";103
"430750 Espumoso";3156
"430755 Estação";892
"430760 Estância Velha";11595
"430770 Esteio";26556
"430780 Estrela";10594
"430781 Estrela Velha";198
"430783 Eugênio de Castro";368
"430786 Fagundes Varela";352
"430790 Farroupilha";31114
"430800 Faxinal do Soturno";863
"430805 Faxinalzinho";89
"430807 Fazenda Vilanova";628
"430810 Feliz";3807
"430820 Flores da Cunha";18057
"430825 Floriano Peixoto";56
"430830 Fontoura Xavier";552
"430840 Formigueiro";182
"430843 Forquetinha";231
"430845 Fortaleza dos Valos";349
"430850 Frederico Westphalen";4142
"430860 Garibaldi";14658
"430865 Garruchos";73
"430870 Gaurama";937
"430880 General Câmara";626
"430885 Gentil";58
"430890 Getúlio Vargas";2430
"430900 Giruá";1909
"430905 Glorinha";1251
"430910 Gramado";13183
"430912 Gramado dos Loureiros";48
"430915 Gramado Xavier";271
"430920 Gravataí";84504
"430925 Guabiju";206
"430930 Guaíba";26987
"430940 Guaporé";9129
"430950 Guarani das Missões";415
"430955 Harmonia";1246
"430710 Herval";116
"430957 Herveiras";191
"430960 Horizontina";5892
"430965 Hulha Negra";122
"430970 Humaitá";285
"430975 Ibarama";79
"430980 Ibiaçá";189
"430990 Ibiraiaras";419
"430995 Ibirapuitã";366
"431000 Ibirubá";3937
"431010 Igrejinha";4987
"431020 Ijuí";20104
"431030 Ilópolis";797
"431033 Imbé";2152
"431036 Imigrante";1181
"431040 Independência";613
"431041 Inhacorá";78
"431043 Ipê";2232
"431046 Ipiranga do Sul";118
"431050 Iraí";181
"431053 Itaara";386
"431055 Itacurubi";283
"431057 Itapuca";58
"431060 Itaqui";4887
"431065 Itati";34
"431070 Itatiba do Sul";108
"431075 Ivorá";56
"431080 Ivoti";6274
"431085 Jaboticaba";100
"431087 Jacuizinho";192
"431090 Jacutinga";685
"431100 Jaguarão";1190
"431110 Jaguari";638
"431112 Jaquirana";306
"431113 Jari";39
"431115 Jóia";601
"431120 Júlio de Castilhos";1132
"431123 Lagoa Bonita do Sul";18
"431127 Lagoa dos Três Cantos";188
"431130 Lagoa Vermelha";3060
"431125 Lagoão";46
"431140 Lajeado";35110
"431142 Lajeado do Bugre";51
"431150 Lavras do Sul";291
"431160 Liberato Salzano";76
"431162 Lindolfo Collor";507
"431164 Linha Nova";118
"431171 Maçambará";46
"431170 Machadinho";221
"431173 Mampituba";28
"431175 Manoel Viana";191
"431177 Maquiné";187
"431179 Maratá";393
"431180 Marau";13430
"431190 Marcelino Ramos";478
"431198 Mariana Pimentel";133
"431200 Mariano Moro";80
"431205 Marques de Souza";383
"431210 Mata";103
"431213 Mato Castelhano";129
"431215 Mato Leitão";657
"431217 Mato Queimado";66
"431220 Maximiliano de Almeida";260
"431225 Minas do Leão";853
"431230 Miraguaí";194
"431235 Montauri";135
"431237 Monte Alegre dos Campos";53
"431238 Monte Belo do Sul";825
"431240 Montenegro";23860
"431242 Mormaço";204
"431244 Morrinhos do Sul";71
"431245 Morro Redondo";217
"431247 Morro Reuter";967
"431250 Mostardas";395
"431260 Muçum";1171
"431261 Muitos Capões";114
"431262 Muliterno";92
"431265 Não-Me-Toque";3781
"431267 Nicolau Vergueiro";90
"431270 Nonoai";593
"431275 Nova Alvorada";140
"431280 Nova Araçá";891
"431290 Nova Bassano";2203
"431295 Nova Boa Vista";53
"431300 Nova Bréscia";308
"431301 Nova Candelária";64
"431303 Nova Esperança do Sul";78
"431306 Nova Hartz";964
"431308 Nova Pádua";1310
"431310 Nova Palma";343
"431320 Nova Petrópolis";7205
"431330 Nova Prata";8089
"431333 Nova Ramada";323
"431335 Nova Roma do Sul";1289
"431337 Nova Santa Rita";6431
"431349 Novo Barreiro";116
"431339 Novo Cabrais";80
"431340 Novo Hamburgo";71630
"431342 Novo Machado";305
"431344 Novo Tiradentes";47
"431346 Novo Xingu";36
"431350 Osório";6437
"431360 Paim Filho";154
"431365 Palmares do Sul";651
"431370 Palmeira das Missões";2561
"431380 Palmitinho";508
"431390 Panambi";14738
"431395 Pantano Grande";647
"431400 Paraí";1617
"431402 Paraíso do Sul";141
"431403 Pareci Novo";686
"431405 Parobé";5324
"431406 Passa Sete";80
"431407 Passo do Sobrado";567
"431410 Passo Fundo";42967
"431413 Paulo Bento";126
"431415 Paverama";591
"431417 Pedras Altas";17
"431420 Pedro Osório";267
"431430 Pejuçara";614
"431440 Pelotas";55063
"431442 Picada Café";985
"431445 Pinhal";94
"431446 Pinhal da Serra";53
